iter	Passed	Remaining
0	2	227
1	4	211
2	6	200
3	7	188
4	9	185
5	11	186
6	13	184
7	15	180
8	17	181
9	19	178
10	21	175
11	23	172
12	25	170
13	27	168
14	29	167
15	31	165
16	33	162
17	35	160
18	37	158
19	39	156
20	41	154
21	43	152
22	45	151
23	47	149
24	49	148
25	51	146
26	53	144
27	55	142
28	57	140
29	59	138
30	61	136
31	63	134
32	65	132
33	67	130
34	69	128
35	71	127
36	74	126
37	76	125
38	79	123
39	81	121
40	83	120
41	84	116
42	86	114
43	88	112
44	90	110
45	92	108
46	94	106
47	96	104
48	98	102
49	100	100
50	102	98
51	104	96
52	106	94
53	108	92
54	109	89
55	111	87
56	113	85
57	115	83
58	117	81
59	119	79
60	121	77
61	122	75
62	124	73
63	126	71
64	129	69
65	131	67
66	133	65
67	135	63
68	137	61
69	139	59
70	141	57
71	143	55
72	145	53
73	147	51
74	150	50
75	152	48
76	154	46
77	156	44
78	158	42
79	160	40
80	162	38
81	164	36
82	165	33
83	167	31
84	169	29
85	171	27
86	173	25
87	175	23
88	177	21
89	179	19
90	180	17
91	182	15
92	184	13
93	186	11
94	188	9
95	190	7
96	191	5
97	193	3
98	195	1
99	197	0
