iter	Passed	Remaining
0	151	151508
1	158	78894
2	165	54890
3	176	43897
4	182	36260
5	189	31434
6	196	27851
7	203	25244
8	208	22985
9	220	21786
10	225	20270
11	231	19051
12	235	17872
13	239	16844
14	242	15909
15	246	15157
16	249	14445
17	253	13825
18	256	13241
19	260	12774
20	265	12384
21	270	12006
22	275	11714
23	281	11447
24	286	11188
25	291	10933
26	296	10679
27	301	10449
28	306	10260
29	311	10071
30	316	9900
31	321	9739
32	326	9560
33	329	9362
34	333	9198
35	336	8999
36	338	8819
37	341	8657
38	344	8479
39	347	8330
40	349	8169
41	351	8008
42	353	7860
43	355	7714
44	357	7581
45	358	7444
46	361	7339
47	364	7228
48	366	7111
49	368	7002
50	370	6896
51	372	6790
52	375	6705
53	377	6612
54	380	6537
55	382	6454
56	385	6372
57	387	6289
58	394	6290
59	396	6210
60	399	6145
61	401	6073
62	404	6010
63	407	5953
64	408	5881
65	410	5810
66	412	5740
67	414	5674
68	415	5610
69	417	5549
70	420	5498
71	423	5452
72	425	5399
73	427	5347
74	429	5296
75	431	5245
76	433	5197
77	436	5158
78	438	5108
79	439	5059
80	441	5013
81	444	4974
82	445	4919
83	447	4876
84	448	4831
85	451	4799
86	453	4755
87	454	4714
88	456	4674
89	458	4633
90	459	4592
91	461	4556
92	465	4540
93	468	4511
94	470	4480
95	473	4460
96	476	4438
97	480	4425
98	484	4408
99	487	4389
100	489	4361
101	491	4331
102	494	4305
103	497	4285
104	499	4256
105	501	4229
106	503	4200
107	505	4175
108	507	4149
109	509	4124
110	512	4108
111	515	4090
112	518	4071
113	520	4045
114	523	4025
115	525	4007
116	527	3980
117	529	3957
118	531	3932
119	533	3911
120	535	3890
121	537	3867
122	539	3847
123	542	3834
124	545	3815
125	546	3793
126	548	3769
127	550	3747
128	552	3727
129	553	3705
130	556	3694
131	558	3673
132	560	3652
133	562	3633
134	564	3614
135	568	3608
136	572	3603
137	575	3594
138	577	3577
139	580	3564
140	582	3549
141	584	3530
142	588	3529
143	592	3519
144	594	3504
145	598	3499
146	603	3502
147	607	3495
148	609	3480
149	612	3469
150	614	3454
151	619	3458
152	622	3448
153	625	3436
154	628	3428
155	631	3415
156	634	3408
157	637	3397
158	639	3384
159	641	3368
160	642	3349
161	644	3334
162	648	3331
163	652	3324
164	653	3309
165	655	3295
166	657	3280
167	659	3266
168	661	3252
169	664	3245
170	666	3233
171	669	3220
172	670	3206
173	672	3191
174	674	3178
175	676	3165
176	679	3157
177	680	3144
178	683	3136
179	686	3127
180	689	3118
181	691	3106
182	694	3101
183	696	3088
184	698	3078
185	700	3064
186	701	3051
187	703	3038
188	705	3025
189	708	3018
190	710	3008
191	712	3000
192	714	2987
193	716	2976
194	718	2964
195	719	2952
196	721	2939
197	725	2937
198	727	2928
199	730	2920
200	732	2910
201	733	2899
202	735	2888
203	739	2884
204	741	2875
205	743	2866
206	745	2854
207	746	2843
208	748	2832
209	750	2822
210	752	2814
211	755	2806
212	758	2801
213	760	2791
214	762	2783
215	765	2778
216	768	2773
217	774	2776
218	777	2772
219	782	2774
220	785	2768
221	789	2767
222	797	2779
223	805	2789
224	808	2783
225	830	2845
226	838	2855
227	841	2850
228	848	2855
229	851	2850
230	855	2848
231	862	2855
232	871	2867
233	875	2866
234	879	2863
235	881	2854
236	884	2846
237	886	2836
238	888	2827
239	891	2821
240	895	2821
241	898	2815
242	901	2807
243	905	2804
244	909	2801
245	913	2798
246	915	2789
247	918	2785
248	922	2781
249	927	2781
250	929	2772
251	931	2764
252	932	2754
253	935	2748
254	940	2748
255	942	2740
256	944	2731
257	946	2721
258	948	2713
259	954	2717
260	957	2710
261	959	2703
262	961	2694
263	962	2684
264	965	2677
265	969	2674
266	971	2667
267	973	2659
268	975	2652
269	977	2644
270	980	2637
271	983	2632
272	985	2623
273	987	2615
274	989	2607
275	990	2598
276	992	2590
277	994	2583
278	997	2578
279	999	2570
280	1001	2561
281	1002	2552
282	1004	2544
283	1005	2535
284	1007	2526
285	1008	2518
286	1011	2513
287	1013	2506
288	1015	2498
289	1017	2490
290	1018	2482
291	1020	2473
292	1021	2465
293	1023	2457
294	1026	2452
295	1028	2447
296	1030	2439
297	1032	2432
298	1034	2424
299	1035	2416
300	1037	2408
301	1039	2401
302	1041	2395
303	1044	2390
304	1046	2384
305	1048	2377
306	1050	2370
307	1052	2364
308	1054	2358
309	1058	2355
310	1062	2353
311	1065	2349
312	1070	2350
313	1075	2350
314	1081	2352
315	1094	2368
316	1098	2366
317	1102	2365
318	1107	2363
319	1112	2363
320	1114	2357
321	1117	2352
322	1120	2348
323	1122	2342
324	1124	2335
325	1126	2328
326	1128	2322
327	1130	2316
328	1133	2312
329	1136	2306
330	1138	2300
331	1140	2295
332	1143	2290
333	1151	2295
334	1155	2293
335	1158	2288
336	1161	2285
337	1165	2282
338	1167	2277
339	1171	2273
340	1174	2268
341	1176	2262
342	1181	2263
343	1183	2257
344	1186	2252
345	1188	2246
346	1190	2240
347	1193	2236
348	1196	2231
349	1198	2225
350	1199	2218
351	1201	2212
352	1203	2206
353	1205	2200
354	1209	2197
355	1211	2192
356	1213	2186
357	1215	2180
358	1217	2173
359	1219	2167
360	1221	2161
361	1223	2156
362	1225	2151
363	1228	2145
364	1229	2139
365	1231	2133
366	1233	2126
367	1234	2120
368	1237	2116
369	1240	2112
370	1243	2107
371	1244	2101
372	1246	2096
373	1248	2090
374	1250	2084
375	1252	2079
376	1255	2075
377	1258	2070
378	1260	2065
379	1264	2063
380	1267	2059
381	1272	2058
382	1274	2053
383	1277	2049
384	1279	2044
385	1281	2039
386	1290	2043
387	1294	2041
388	1296	2036
389	1304	2040
390	1306	2035
391	1308	2030
392	1311	2025
393	1313	2019
394	1318	2019
395	1320	2013
396	1321	2007
397	1323	2001
398	1325	1996
399	1327	1990
400	1329	1985
401	1332	1981
402	1334	1976
403	1336	1971
404	1338	1965
405	1339	1960
406	1341	1954
407	1343	1948
408	1345	1943
409	1348	1940
410	1350	1935
411	1352	1930
412	1355	1925
413	1356	1920
414	1358	1914
415	1361	1910
416	1364	1908
417	1367	1904
418	1370	1900
419	1372	1894
420	1374	1890
421	1378	1888
422	1381	1884
423	1383	1879
424	1385	1875
425	1388	1870
426	1390	1865
427	1394	1863
428	1396	1858
429	1398	1853
430	1401	1850
431	1403	1845
432	1409	1845
433	1411	1840
434	1413	1835
435	1414	1830
436	1416	1824
437	1417	1819
438	1420	1814
439	1423	1811
440	1425	1806
441	1427	1801
442	1429	1797
443	1431	1792
444	1433	1788
445	1436	1784
446	1439	1781
447	1442	1777
448	1443	1771
449	1445	1766
450	1447	1761
451	1448	1756
452	1451	1753
453	1455	1750
454	1458	1746
455	1460	1742
456	1462	1737
457	1463	1732
458	1466	1728
459	1470	1726
460	1472	1721
461	1474	1716
462	1475	1711
463	1477	1706
464	1479	1702
465	1484	1700
466	1486	1696
467	1487	1691
468	1489	1686
469	1491	1681
470	1492	1676
471	1494	1671
472	1501	1672
473	1503	1668
474	1505	1663
475	1507	1659
476	1509	1654
477	1512	1652
478	1515	1648
479	1517	1643
480	1519	1639
481	1520	1634
482	1522	1629
483	1523	1624
484	1527	1621
485	1531	1619
486	1532	1614
487	1535	1610
488	1536	1605
489	1538	1601
490	1539	1596
491	1542	1592
492	1546	1590
493	1550	1588
494	1553	1585
495	1559	1584
496	1563	1581
497	1566	1578
498	1567	1574
499	1569	1569
500	1573	1566
501	1576	1563
502	1578	1559
503	1580	1555
504	1582	1551
505	1584	1546
506	1586	1543
507	1590	1540
508	1594	1537
509	1595	1533
510	1598	1529
511	1599	1524
512	1603	1522
513	1605	1518
514	1607	1514
515	1609	1509
516	1610	1504
517	1612	1500
518	1613	1495
519	1616	1492
520	1619	1488
521	1622	1486
522	1624	1481
523	1626	1477
524	1627	1472
525	1629	1468
526	1631	1464
527	1634	1461
528	1637	1457
529	1638	1453
530	1640	1448
531	1642	1444
532	1643	1440
533	1646	1436
534	1648	1433
535	1651	1429
536	1653	1425
537	1654	1420
538	1656	1416
539	1657	1412
540	1659	1408
541	1662	1405
542	1665	1401
543	1668	1398
544	1669	1393
545	1671	1389
546	1672	1385
547	1674	1381
548	1678	1379
549	1682	1376
550	1685	1373
551	1687	1369
552	1691	1367
553	1696	1365
554	1699	1362
555	1701	1359
556	1704	1355
557	1709	1353
558	1712	1351
559	1715	1347
560	1717	1344
561	1721	1341
562	1726	1340
563	1729	1337
564	1732	1333
565	1735	1330
566	1738	1327
567	1742	1325
568	1745	1321
569	1748	1318
570	1751	1315
571	1755	1313
572	1760	1311
573	1764	1309
574	1771	1309
575	1775	1307
576	1779	1304
577	1788	1305
578	1792	1303
579	1795	1300
580	1802	1299
581	1806	1297
582	1809	1294
583	1814	1292
584	1820	1291
585	1824	1288
586	1829	1287
587	1834	1285
588	1838	1283
589	1844	1281
590	1849	1279
591	1853	1277
592	1856	1274
593	1864	1274
594	1868	1272
595	1876	1272
596	1882	1270
597	1886	1268
598	1893	1267
599	1897	1264
600	1900	1261
601	1906	1260
602	1910	1258
603	1914	1255
604	1918	1252
605	1923	1250
606	1928	1248
607	1931	1245
608	1937	1243
609	1941	1241
610	1945	1238
611	1949	1236
612	1956	1235
613	1961	1232
614	1969	1232
615	1977	1233
616	1986	1232
617	1991	1230
618	1994	1227
619	2000	1226
620	2002	1222
621	2004	1218
622	2007	1214
623	2010	1211
624	2013	1207
625	2018	1206
626	2020	1202
627	2022	1198
628	2028	1196
629	2032	1193
630	2034	1189
631	2036	1186
632	2038	1181
633	2041	1178
634	2046	1176
635	2048	1172
636	2050	1168
637	2052	1164
638	2056	1161
639	2060	1159
640	2063	1155
641	2065	1151
642	2067	1147
643	2072	1145
644	2078	1143
645	2080	1140
646	2083	1136
647	2087	1133
648	2090	1130
649	2092	1126
650	2096	1124
651	2102	1122
652	2106	1119
653	2109	1116
654	2113	1113
655	2118	1110
656	2121	1107
657	2124	1104
658	2131	1103
659	2135	1100
660	2140	1097
661	2143	1094
662	2148	1092
663	2152	1089
664	2155	1085
665	2159	1082
666	2165	1081
667	2168	1077
668	2170	1073
669	2173	1070
670	2176	1067
671	2181	1064
672	2186	1062
673	2188	1058
674	2191	1055
675	2194	1051
676	2198	1048
677	2200	1045
678	2203	1041
679	2204	1037
680	2208	1034
681	2211	1030
682	2212	1027
683	2214	1023
684	2216	1019
685	2217	1015
686	2219	1011
687	2221	1007
688	2224	1004
689	2225	1000
690	2227	996
691	2229	992
692	2230	988
693	2232	984
694	2233	980
695	2237	977
696	2256	980
697	2258	977
698	2260	973
699	2263	969
700	2265	966
701	2270	963
702	2273	960
703	2275	956
704	2278	953
705	2280	949
706	2285	947
707	2288	943
708	2291	940
709	2293	936
710	2299	934
711	2303	931
712	2305	928
713	2308	924
714	2310	921
715	2314	918
716	2317	914
717	2320	911
718	2322	907
719	2325	904
720	2329	901
721	2332	897
722	2334	894
723	2337	891
724	2340	887
725	2344	884
726	2346	881
727	2349	877
728	2351	874
729	2354	870
730	2357	867
731	2361	864
732	2364	861
733	2366	857
734	2368	854
735	2372	850
736	2375	847
737	2378	844
738	2380	840
739	2383	837
740	2386	833
741	2389	830
742	2392	827
743	2394	823
744	2396	820
745	2399	816
746	2401	813
747	2404	810
748	2407	806
749	2410	803
750	2412	799
751	2414	796
752	2417	793
753	2420	789
754	2423	786
755	2425	782
756	2428	779
757	2430	776
